,Kode Daerah,Daerah,Belanja Pegawai,Penduduk,Luas Daratan,Luas Lautan,Total Luas Wilayah,IKK,IPM,PDRB per kapita,PAD,DBH Pajak,DBH SDA,Alokasi DAU
490,2807,Kota Serang,269219708248.00,659450.00,266.71,27.79,294.50,92.88,72.10,46761015.17,190029710255.00,61187534150.00,1959515442.00,624827538000.00
491,2808,Kota Tangerang Selatan,295996315770.00,1294343.00,147.19,0,147.19,103.93,81.48,59517599.15,1817505710180.00,151030224447.00,1582740490.00,570226008000.00
492,2900,Provinsi Bangka Belitung,326499346386.00,1406583.00,16424.06,37162.08,53586.14,101.90,71.30,38564608.04,826701095332.07,43368024475.00,206312041250.00,970636972000.00
493,2901,Kab. Bangka,249257693140.00,319710.00,2950.68,1278.52,4229.20,101.43,72.39,29858038.39,144668128852.62,23702397096.00,127035663778.00,506653312000.00
494,2902,Kab. Belitung,199351119022.00,174567.00,2293.61,3496.83,5790.44,102.18,72.46,46815955.58,177674823550.42,24044560294.00,73904696166.00,468342798000.00
495,2903,Kota Pangkal Pinang ,188548852834.00,216396.00,89.40,44.19,133.59,100.94,77.97,55425118.19,155116318111.20,16761709652.00,55925014614.00,438919884000.00
496,2904,Kab. Bangka Selatan,159146753834.00,181961.00,3607.08,2597.22,6204.30,101.18,66.54,36113479.53,62941444714.19,16460484442.00,105249179653.00,448918589000.00
497,2905,Kab. Bangka Tengah,166580682286.00,188135.00,2155.77,2233.75,4389.52,101.22,70.33,36908667.26,88848500111.92,19508993703.00,84987673126.00,431227177000.00
498,2906,Kab. Bangka Barat,167357145792.00,199823.00,2820.61,1783.79,4604.40,102.89,69.05,33430710.69,67746468419.01,27349942527.00,107681312268.00,433792745000.00
499,2907,Kab. Belitung Timur,163005598662.00,125991.00,2506.91,4187.46,6694.37,103.52,70.84,40342899.67,111247802604.87,18400922106.00,93811234171.00,429280821000.00
500,3000,Provinsi Gorontalo,347233323076.00,1189685.00,11257.07,9375.34,20632.41,94.12,68.49,32959975.68,433427781398.85,12734701596.00,733666052.00,971762295000.00
501,3001,Kab. Boalemo,184183749532.00,148116.00,1521.88,609.86,2131.74,97.01,65.53,36053034.06,70712830833.67,7033374197.00,814004397.00,435796166000.00
502,3002,Kab. Gorontalo,324016604748.00,401037.00,1750.83,328.19,2079.02,92.67,66.69,30369154.37,155465564155.41,7978547912.00,1244389227.00,630646862000.00
503,3003,Kota Gorontalo,259319031206.00,201154.00,79.59,26.89,106.48,91.52,77.08,39981938.05,217583653390.81,10204473657.00,801441452.00,497821062000.00
504,3004,Kab. Pohuwato,207380313452.00,147486.00,4244.31,1186.32,5430.63,94.33,65.27,42907511.67,62337943760.48,8318522521.00,1560617128.00,496856253000.00
505,3005,Kab. Bone Bolango,231957335922.00,165826.00,1984.31,397.28,2381.59,94.48,69.63,25599816.53,75724604086.44,6797452473.00,1650559207.00,467100538000.00
506,3014,Kab. Gorontalo Utara,145104070380.00,126066.00,1676.15,1227.34,2903.49,94.81,64.52,25843400.76,32056965027.54,7569807666.00,792537105.00,389377730000.00
507,3100,Provinsi Kepulauan Riau                           ,306537692196.00,1983597.00,8201.72,96612.89,104814.61,121.50,75.48,67412116.62,1311704305173.32,101704603587.00,642807392367.00,1129091346000.00
508,3101,Kab. Natuna,161697873196.00,82192.00,2009.04,8279.40,10288.44,131.61,72.63,74925069.02,56417450262.53,69255132165.00,522518096603.00,403624512000.00
509,3102,Kab. Kepulauan Anambas,97494722758.00,47022.00,590.14,6343.09,6933.23,138.78,68.48,63614813.91,36560321314.96,44678061732.00,372129355804.00,380489223000.00
510,3103,Kab. Karimun,225515183700.00,251510.00,912.75,3307.41,4220.16,116.11,71.10,41461208.95,356972035839.26,36130935921.00,123106054679.00,430884153000.00
511,3104,Kota Batam,343779506950.00,1121875.00,960.25,2965.15,3925.40,115.75,81.09,68042650.13,1147685950193.30,62884857704.00,107454201862.00,646918482000.00
512,3105,Kota Tanjung Pinang,192727777126.00,222110.00,144.56,203.34,347.90,115.33,78.73,86058476.52,148494445011.70,17390849749.00,107508956396.00,463626007000.00
513,3106,Kab. Lingga,157764565892.00,101429.00,2266.77,8092.26,10359.03,122.86,64.98,40108351.58,37492637246.28,12834297284.00,110762328688.00,469625118000.00
514,3107,Kab. Bintan,194064129862.00,157459.00,1318.21,6310.12,7628.33,112.37,73.98,75133787.31,372155030107.70,16843574189.00,110700866121.00,492618448000.00
515,3200,Provinsi Papua Barat,289026267962.00,1146666.00,102955.15,102674.64,205629.79,129.66,64.70,41738225.23,483725598744.76,141889823558.00,279638376350.00,1350978612000.00
516,3201,Kab. Fak Fak,216894962686.00,88303.00,14320.00,4302.49,18622.49,126.32,67.87,57852945.91,40601327619.72,12780742424.00,50423034915.00,662932751000.00
517,3202,Kab. Manokwari,204261869808.00,191657.00,3186.28,1085.71,4271.99,120.92,71.67,49640001.40,108554356172.86,18085788681.00,48076520093.00,507833489000.00
518,3203,Kab. Sorong,236411413368.00,123415.00,6544.23,2907.35,9451.58,119.93,65.29,37423835.01,73387618427.14,153960524468.00,116062582583.00,511889989000.00
519,3204,Kota Sorong,196542462602.00,281852.00,656.64,332.53,989.17,109.25,77.98,53116190.21,188001695883.59,15357164167.00,46260635806.00,473147792000.00
520,3205,Kab. Raja Ampat,149534179378.00,66089.00,8034.44,20481.04,28515.48,125.22,63.66,32453051.27,28176803538.39,11934863595.00,92311579373.00,663610172000.00
521,3206,Kab. Sorong Selatan,140554583002.00,54160.00,6594.31,1191.65,7785.96,128.36,61.93,30333558.93,24574244310.00,11159627575.00,47383860085.00,448685616000.00
522,3207,Kab. Teluk Bintuni,142438558714.00,80278.00,20840.83,2736.74,23577.57,139.24,64.00,58593696.90,52111518822.78,285086507741.00,944996508092.00,510059360000.00
523,3208,Kab. Teluk Wondama,123284283670.00,44371.00,3959.53,3887.44,7846.97,127.67,59.82,34167887.85,26527568592.82,11059279047.00,51037645724.00,435413331000.00
524,3209,Kab. Kaimana,115904728708.00,64488.00,16241.84,5259.70,21501.54,123.48,64.59,40693636.76,30093836325.43,10666755703.00,55688202165.00,586962173000.00
525,3210,Kab. Maybrat,99304474566.00,44156.00,5461.69,0,5461.69,132.47,59.15,16535542.79,7334777000.00,9844348726.00,50020821820.00,415074704000.00
526,3211,Kab. Tambrauw,74341832536.00,32091.00,11529.18,1854.07,13383.25,128.92,52.90,7258714.18,8850860970.00,9715639260.00,46092652519.00,478060116000.00
527,3212,Kab. Manokwari Selatan,36321701598.00,36876.00,2812.44,602.79,3415.23,130.73,59.72,22439628.99,16053049554.20,8046811337.00,48194722998.00,327486558000.00
528,3213,Kab. Pegunungan Arfak,44104769226.52,38930.00,2773.74,0,2773.74,185.70,56.15,5099123.58,6139630480.23,15673592947.00,46113497762.00,355097234000.00
